StartYear,Category,EventID
2012,Commercial,717
2012,Documentary,35
2012,Film,1445
2012,Music Video,27
2012,Still Photography,458
2012,Student,80
2012,Television,3307
2012,Theater,656
2012,WEB,185
2013,Commercial,720
2013,Documentary,41
2013,Film,2069
2013,Music Video,51
2013,Still Photography,520
2013,Student,44
2013,Television,3645
2013,Theater,685
2013,WEB,319
2014,Commercial,719
2014,Documentary,55
2014,Film,1172
2014,Music Video,11
2014,Still Photography,556
2014,Student,51
2014,Television,4497
2014,Theater,704
2014,WEB,197
2015,Commercial,727
2015,Documentary,30
2015,Film,1441
2015,Music Video,24
2015,Still Photography,588
2015,Student,57
2015,Television,5027
2015,Theater,746
2015,WEB,318
2016,Commercial,633
2016,Documentary,9
2016,Film,1035
2016,Music Video,19
2016,Red Carpet/Premiere,1
2016,Still Photography,508
2016,Student,41
2016,Television,4769
2016,Theater,794
2016,WEB,286
2017,Commercial,597
2017,Documentary,20
2017,Film,1312
2017,Music Video,19
2017,Still Photography,419
2017,Student,44
2017,Television,4606
2017,Theater,883
2017,WEB,322
2018,Commercial,602
2018,Documentary,48
2018,Film,1206
2018,Music Video,41
2018,Still Photography,513
2018,Student,47
2018,Television,5164
2018,Theater,988
2018,WEB,401
2019,Commercial,491
2019,Documentary,34
2019,Film,1095
2019,Music Video,27
2019,Still Photography,423
2019,Student,44
2019,Television,4838
2019,Theater,1123
2019,WEB,366
2020,Commercial,72
2020,Documentary,10
2020,Film,80
2020,Music Video,2
2020,Still Photography,26
2020,Student,18
2020,Television,949
2020,Theater,170
2020,WEB,43
